Date,ETH Price,BTC Price
09/08/2015,0.909046,261.75225
10/08/2015,0.692321,265.0825
11/08/2015,0.668067,264.87516
12/08/2015,0.850151,270.22325
13/08/2015,1.266023,264.14299
14/08/2015,1.95146,262.01758
15/08/2015,1.591219,265.3955
16/08/2015,1.693707,261.20058
17/08/2015,1.423244,258.0065
18/08/2015,1.199595,256.44841
19/08/2015,1.182837,230.38424
20/08/2015,1.279549,232.06483
21/08/2015,1.447462,234.56375
22/08/2015,1.36656,233.03691
23/08/2015,1.320872,231.21275
24/08/2015,1.374641,227.23233
25/08/2015,1.209496,203.18133
26/08/2015,1.054577,219.81583
27/08/2015,1.182596,224.53608
28/08/2015,1.15499,224.18875
29/08/2015,1.18735,230.93575
30/08/2015,1.129976,230.58541
31/08/2015,1.254864,227.18083
01/09/2015,1.334005,229.02966
02/09/2015,1.327498,226.28841
03/09/2015,1.293887,228.35299
04/09/2015,1.277428,227.14741
05/09/2015,1.272847,229.66691
06/09/2015,1.350303,240.70116
07/09/2015,1.283866,239.88
08/09/2015,1.273887,242.01891
09/09/2015,1.22715,244.31383
10/09/2015,1.21412,237.99466
11/09/2015,1.133807,240.56366
12/09/2015,0.99657,239.81675
13/09/2015,1.057922,235.053
14/09/2015,0.943382,229.15808
15/09/2015,0.895974,230.51091
16/09/2015,0.953877,230.98066
17/09/2015,0.908822,229.58975
18/09/2015,0.8584,233.2385
19/09/2015,0.852294,232.50008
20/09/2015,0.876125,231.33733
21/09/2015,0.9786,230.75433
22/09/2015,0.903632,227.79358
23/09/2015,0.902332,231.30983
24/09/2015,0.882362,231.09508
25/09/2015,0.823158,233.74475
26/09/2015,0.71822,234.92466
27/09/2015,0.786708,234.32908
28/09/2015,0.673928,237.21116
29/09/2015,0.587136,238.56625
30/09/2015,0.663342,238.06125
01/10/2015,0.74342,237.15191
02/10/2015,0.683352,238.06358
03/10/2015,0.673569,237.63516
04/10/2015,0.704391,238.99883
05/10/2015,0.674765,238.82433
06/10/2015,0.611915,240.63075
07/10/2015,0.627348,246.49633
08/10/2015,0.597617,244.49816
09/10/2015,0.647476,243.25675
10/10/2015,0.639178,244.96533
11/10/2015,0.622336,245.07
12/10/2015,0.630986,247.65041
13/10/2015,0.615958,244.57641
14/10/2015,0.580101,249.45908
15/10/2015,0.520789,254.64216
16/10/2015,0.55132,255.72741
17/10/2015,0.523356,267.53983
18/10/2015,0.549124,270.04041
19/10/2015,0.518259,264.98625
20/10/2015,0.490581,264.92575
21/10/2015,0.490282,270.49541
22/10/2015,0.428394,267.46908
23/10/2015,0.561577,274.25325
24/10/2015,0.543105,279.97908
25/10/2015,0.555001,286.86941
26/10/2015,0.626306,284.286
27/10/2015,0.810927,287.83091
28/10/2015,0.847653,300.53566
29/10/2015,0.96149,304.32691
30/10/2015,1.25408,326.55691
31/10/2015,0.9483,327.58425
01/11/2015,0.913563,311.70274
02/11/2015,1.068958,325.64666
03/11/2015,0.964695,369.51133
04/11/2015,1.018074,432.46133
05/11/2015,0.926706,434.31683
06/11/2015,0.878713,359.586
07/11/2015,0.916739,377.64099
08/11/2015,0.933398,387.775
09/11/2015,1.080845,370.652
10/11/2015,0.989914,376.948
11/11/2015,0.854742,311.702
12/11/2015,0.784963,320.036
13/11/2015,0.898162,337.893
14/11/2015,0.904045,334.125
15/11/2015,0.89712,333.951
16/11/2015,0.938097,320.06
17/11/2015,0.917747,337.759
18/11/2015,0.970144,333.33299
19/11/2015,0.991469,334.02499
20/11/2015,0.93856,315.63099
21/11/2015,0.934916,321.482
22/11/2015,0.976503,326.365
23/11/2015,0.987436,322.606
24/11/2015,0.943054,320.993
25/11/2015,0.894563,318.337
26/11/2015,0.85455,332.471
27/11/2015,0.895359,349.138
28/11/2015,0.889247,354.954
29/11/2015,0.919118,356.806
30/11/2015,0.862868,375.204
01/12/2015,0.864777,377.798
02/12/2015,0.84846,352.128
03/12/2015,0.818644,366.788
04/12/2015,0.831416,358.443
05/12/2015,0.834368,369.956
06/12/2015,0.862831,394.861
07/12/2015,0.840918,391.618
08/12/2015,0.793856,395.59299
09/12/2015,0.802668,421.424
10/12/2015,0.7904,415.076
11/12/2015,0.831718,421.813
12/12/2015,0.957485,467.831
13/12/2015,0.970127,435.091
14/12/2015,0.983037,437.021
15/12/2015,0.992982,453.676
16/12/2015,0.976204,445.805
17/12/2015,0.980235,451.102
18/12/2015,0.909203,456.425
19/12/2015,0.902221,464.218
20/12/2015,0.906143,460.238
21/12/2015,0.909542,435.64099
22/12/2015,0.891691,438.276
23/12/2015,0.860184,437.994
24/12/2015,0.85239,456.572
25/12/2015,0.859723,455.743
26/12/2015,0.85956,447.606
27/12/2015,0.872795,419.338
28/12/2015,0.87006,427.817
29/12/2015,0.845619,422.741
30/12/2015,0.875728,431.029
31/12/2015,0.959113,424.962
01/01/2016,0.939963,432.358
02/01/2016,0.954338,433.773
03/01/2016,0.946475,431.985
04/01/2016,0.964273,431.691
05/01/2016,0.9592,433.732
06/01/2016,0.945187,427.164
07/01/2016,0.954133,441.021
08/01/2016,0.971532,457.168
09/01/2016,0.973215,452.368
10/01/2016,0.976544,445.327
11/01/2016,1.054485,450.312
12/01/2016,1.066742,446.614
13/01/2016,1.123385,431.156
14/01/2016,1.137388,431.41
15/01/2016,1.214603,416.29
16/01/2016,1.218812,372.737
17/01/2016,1.22759,383.138
18/01/2016,1.404201,380.817
19/01/2016,1.414796,382.738
20/01/2016,1.381008,378.775
21/01/2016,1.570498,417.439
22/01/2016,1.507437,403.271
23/01/2016,1.629212,388.219
24/01/2016,2.198391,388.538
25/01/2016,2.191263,397.885
26/01/2016,2.671689,390.715
27/01/2016,2.463335,392.389
28/01/2016,2.363919,381.356
29/01/2016,2.54387,369.133
30/01/2016,2.540141,376.952
31/01/2016,2.476824,378.174
01/02/2016,2.19333,372.157
02/02/2016,2.144291,372.453
03/02/2016,2.35222,372.762
04/02/2016,2.449304,370.433
05/02/2016,2.54249,386.954
06/02/2016,2.524713,377.889
07/02/2016,2.568608,376.44
08/02/2016,2.965984,376.924
09/02/2016,3.171354,372.434
10/02/2016,4.274951,374.764
11/02/2016,4.471621,379.186
12/02/2016,6.552829,378.576
13/02/2016,5.329095,388.87
14/02/2016,4.767885,397.23
15/02/2016,5.741672,405.621
16/02/2016,5.323951,401.663
17/02/2016,4.399924,407.017
18/02/2016,3.635079,417.492
19/02/2016,4.73599,421.956
20/02/2016,4.471239,422.054
21/02/2016,4.243621,439.61
22/02/2016,5.100212,436.14
23/02/2016,5.772068,438.745
24/02/2016,5.544,419.896
25/02/2016,6.141016,422.617
26/02/2016,5.893572,421.244
27/02/2016,6.026489,433.401
28/02/2016,6.343376,425.502
29/02/2016,6.558609,438.28
01/03/2016,6.414685,436.426
02/03/2016,7.552274,434.001
03/03/2016,8.512542,419.254
04/03/2016,8.569114,421.597
05/03/2016,10.161934,407.722
06/03/2016,11.30321,397.883
07/03/2016,10.786501,407.276
08/03/2016,8.773093,414.213
09/03/2016,10.288869,410.739
10/03/2016,12.111201,411.672
11/03/2016,10.831474,416.708
12/03/2016,12.772452,415.04
13/03/2016,14.080665,411.637
14/03/2016,12.828765,414.208
15/03/2016,12.03913,416.034
16/03/2016,13.150548,414.167
17/03/2016,12.405536,417.138
18/03/2016,11.021445,417.154
19/03/2016,10.611342,407.473
20/03/2016,10.694646,409.24
21/03/2016,10.68432,407.496
22/03/2016,11.548473,415.125
23/03/2016,11.535684,417.318
24/03/2016,11.88883,415.837
25/03/2016,10.717539,414.75699
26/03/2016,10.95367,416.851
27/03/2016,10.798301,416.233
28/03/2016,11.298643,424.297
29/03/2016,11.361113,423.597
30/03/2016,11.620024,414.613
31/03/2016,11.906417,414.458
01/04/2016,11.657835,416.012
02/04/2016,11.465972,418.785
03/04/2016,11.537668,418.93999
04/04/2016,11.638093,418.593
05/04/2016,10.865302,422.044
06/04/2016,10.45508,422.29499
07/04/2016,10.660057,420.553
08/04/2016,10.264577,421.616
09/04/2016,9.960003,415.751
10/04/2016,9.03829,418.078
11/04/2016,8.809607,421.192
12/04/2016,8.088833,426.383
13/04/2016,7.098819,426.84399
14/04/2016,8.365123,425.494
15/04/2016,8.35775,426.279
16/04/2016,8.246231,429.775
17/04/2016,9.132143,430.453
18/04/2016,9.279722,429.318
19/04/2016,9.096884,428.522
20/04/2016,8.596728,435.926
21/04/2016,8.483955,443.758
22/04/2016,8.262633,446.776
23/04/2016,7.88495,447.233
24/04/2016,8.475849,455.152
25/04/2016,8.061256,458.626
26/04/2016,7.46844,464.429
27/04/2016,7.444989,466.064
28/04/2016,7.54001,441.304
29/04/2016,7.462268,446.236
30/04/2016,7.646307,454.375
01/05/2016,8.684684,449.108
02/05/2016,9.069084,453.067
03/05/2016,9.818807,443.681
04/05/2016,9.48813,449.157
05/05/2016,9.4005,447.73999
06/05/2016,9.920161,447.58599
07/05/2016,9.320362,458.864
08/05/2016,9.248766,459.937
09/05/2016,9.398316,458.708
10/05/2016,9.409434,460.954
11/05/2016,9.482134,454.39399
12/05/2016,9.872727,451.155
13/05/2016,10.386921,453.701
14/05/2016,10.283427,456.039
15/05/2016,10.418331,456.093
16/05/2016,10.221577,457.64099
17/05/2016,11.300386,454.278
18/05/2016,12.671507,454.064
19/05/2016,13.309152,453.494
20/05/2016,14.566127,440.231
21/05/2016,13.095667,442.953
22/05/2016,13.721357,442.892
23/05/2016,14.153041,440.551
24/05/2016,13.415642,444.489
25/05/2016,12.531584,447.035
26/05/2016,12.8516,448.278
27/05/2016,11.297005,467.262
28/05/2016,10.602814,489.847
29/05/2016,11.973384,516.051
30/05/2016,12.302019,529.917
31/05/2016,12.696851,537.23299
01/06/2016,13.89002,528.04999
02/06/2016,13.630606,538.568
03/06/2016,13.826359,537.185
04/06/2016,13.619672,571.139
05/06/2016,13.637499,579.343
06/06/2016,13.753011,578.84899
07/06/2016,13.943334,585.399
08/06/2016,14.655687,576.226
09/06/2016,14.466797,580.43599
10/06/2016,14.200965,574.953
11/06/2016,13.8645,583.87
12/06/2016,14.301974,633.205
13/06/2016,15.441725,682.226
14/06/2016,17.99626,695.155
15/06/2016,18.396721,685.442
16/06/2016,18.661962,732.357
17/06/2016,21.2794,773.25
18/06/2016,14.262145,736.386
19/06/2016,12.721143,747.831
20/06/2016,12.250261,758.903
21/06/2016,11.174118,702.696
22/06/2016,14.95764,657.013
23/06/2016,13.107161,581.249
24/06/2016,13.665296,657.08999
25/06/2016,14.569529,687.168
26/06/2016,14.209372,657.22399
27/06/2016,13.931138,644.091
28/06/2016,13.886,655.94399
29/06/2016,11.915406,634.357
30/06/2016,12.494312,635.093
01/07/2016,12.374262,683.293
02/07/2016,12.179126,678.567
03/07/2016,12.086667,690.179
04/07/2016,11.78207,670.741
05/07/2016,11.359705,679.351
06/07/2016,10.326753,676.872
