Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,09/08/2015,261.75225,278.2765,278.46766,259.26675
ETH,09/08/2015,0.909046,1.749289,1.91654,0.794497
BTC,10/08/2015,265.0825,261.75225,266.79691,260.55483
ETH,10/08/2015,0.692321,0.909046,0.909046,0.692321
BTC,11/08/2015,264.87516,265.0825,266.348,261.95933
ETH,11/08/2015,0.668067,0.692321,0.692321,0.654331
BTC,12/08/2015,270.22325,264.87516,271.20391,264.17225
ETH,12/08/2015,0.850151,0.668067,1.148621,0.668067
BTC,13/08/2015,264.14299,270.22325,270.24325,264.14299
ETH,13/08/2015,1.266023,0.850151,1.266023,0.850151
BTC,14/08/2015,262.01758,264.14299,265.29758,261.13383
ETH,14/08/2015,1.95146,1.266023,2.073329,1.149458
BTC,15/08/2015,265.3955,262.01758,267.06158,261.94441
ETH,15/08/2015,1.591219,1.95146,2.225695,1.591219
BTC,16/08/2015,261.20058,265.3955,265.98733,259.41733
ETH,16/08/2015,1.693707,1.591219,1.76886,1.591219
BTC,17/08/2015,258.0065,261.20058,261.20058,255.74041
ETH,17/08/2015,1.423244,1.693707,1.693707,1.099489
BTC,18/08/2015,256.44841,258.0065,259.63791,255.34966
ETH,18/08/2015,1.199595,1.423244,1.469168,1.19379
BTC,19/08/2015,230.38424,256.44841,256.49283,214.03104
ETH,19/08/2015,1.182837,1.199595,1.336878,0.918462
BTC,20/08/2015,232.06483,230.38424,236.11891,220.75441
ETH,20/08/2015,1.279549,1.182837,1.306265,1.161387
BTC,21/08/2015,234.56375,232.06483,236.62541,229.81658
ETH,21/08/2015,1.447462,1.279549,1.520993,1.219
BTC,22/08/2015,233.03691,234.56375,235.86108,230.81641
ETH,22/08/2015,1.36656,1.447462,1.53824,1.36656
BTC,23/08/2015,231.21275,233.03691,233.21158,221.82108
ETH,23/08/2015,1.320872,1.36656,1.532008,1.320872
BTC,24/08/2015,227.23233,231.21275,231.79075,224.10816
ETH,24/08/2015,1.374641,1.320872,1.416982,1.320872
BTC,25/08/2015,203.18133,227.23233,227.23233,198.22833
ETH,25/08/2015,1.209496,1.374641,1.396274,1.161909
BTC,26/08/2015,219.81583,203.18133,226.27733,202.13641
ETH,26/08/2015,1.054577,1.209496,1.209496,1.037515
BTC,27/08/2015,224.53608,219.81583,230.39633,219.71124
ETH,27/08/2015,1.182596,1.054577,1.182596,1.054577
BTC,28/08/2015,224.18875,224.53608,228.034,219.91025
ETH,28/08/2015,1.15499,1.182596,1.182596,1.077896
BTC,29/08/2015,230.93575,224.18875,234.71883,222.5025
ETH,29/08/2015,1.18735,1.15499,1.193085,1.15499
BTC,30/08/2015,230.58541,230.93575,232.931,226.99866
ETH,30/08/2015,1.129976,1.18735,1.188128,1.129976
BTC,31/08/2015,227.18083,230.58541,230.6365,225.32433
ETH,31/08/2015,1.254864,1.129976,1.309973,1.129976
BTC,01/09/2015,229.02966,227.18083,231.88441,224.8115
ETH,01/09/2015,1.334005,1.254864,1.344723,1.254864
BTC,02/09/2015,226.28841,229.02966,229.47541,225.83066
ETH,02/09/2015,1.327498,1.334005,1.367081,1.31833
BTC,03/09/2015,228.35299,226.28841,230.05741,225.66683
ETH,03/09/2015,1.293887,1.327498,1.346276,1.267851
BTC,04/09/2015,227.14741,228.35299,228.45141,226.11783
ETH,04/09/2015,1.277428,1.293887,1.293887,1.204812
BTC,05/09/2015,229.66691,227.14741,230.60799,226.89141
ETH,05/09/2015,1.272847,1.277428,1.282001,1.233946
