Currency,Date,Closing Price (USD)
BTC,09/08/2015,261.75225
ETH,09/08/2015,0.909046
BTC,10/08/2015,265.0825
ETH,10/08/2015,0.692321
BTC,11/08/2015,264.87516
ETH,11/08/2015,0.668067
BTC,12/08/2015,270.22325
ETH,12/08/2015,0.850151
BTC,13/08/2015,264.14299
ETH,13/08/2015,1.266023
BTC,14/08/2015,262.01758
ETH,14/08/2015,1.95146
BTC,15/08/2015,265.3955
ETH,15/08/2015,1.591219
BTC,16/08/2015,261.20058
ETH,16/08/2015,1.693707
BTC,17/08/2015,258.0065
ETH,17/08/2015,1.423244
BTC,18/08/2015,256.44841
ETH,18/08/2015,1.199595
BTC,19/08/2015,230.38424
ETH,19/08/2015,1.182837
BTC,20/08/2015,232.06483
ETH,20/08/2015,1.279549
BTC,21/08/2015,234.56375
ETH,21/08/2015,1.447462
BTC,22/08/2015,233.03691
ETH,22/08/2015,1.36656
BTC,23/08/2015,231.21275
ETH,23/08/2015,1.320872
BTC,24/08/2015,227.23233
ETH,24/08/2015,1.374641
BTC,25/08/2015,203.18133
ETH,25/08/2015,1.209496
BTC,26/08/2015,219.81583
ETH,26/08/2015,1.054577
BTC,27/08/2015,224.53608
ETH,27/08/2015,1.182596
BTC,28/08/2015,224.18875
ETH,28/08/2015,1.15499
BTC,29/08/2015,230.93575
ETH,29/08/2015,1.18735
BTC,30/08/2015,230.58541
ETH,30/08/2015,1.129976
BTC,31/08/2015,227.18083
ETH,31/08/2015,1.254864
BTC,01/09/2015,229.02966
ETH,01/09/2015,1.334005
BTC,02/09/2015,226.28841
ETH,02/09/2015,1.327498
BTC,03/09/2015,228.35299
ETH,03/09/2015,1.293887
BTC,04/09/2015,227.14741
ETH,04/09/2015,1.277428
BTC,05/09/2015,229.66691
ETH,05/09/2015,1.272847
BTC,06/09/2015,240.70116
ETH,06/09/2015,1.350303
BTC,07/09/2015,239.88
ETH,07/09/2015,1.283866
BTC,08/09/2015,242.01891
ETH,08/09/2015,1.273887
BTC,09/09/2015,244.31383
ETH,09/09/2015,1.22715
BTC,10/09/2015,237.99466
ETH,10/09/2015,1.21412
BTC,11/09/2015,240.56366
ETH,11/09/2015,1.133807
BTC,12/09/2015,239.81675
ETH,12/09/2015,0.99657
BTC,13/09/2015,235.053
ETH,13/09/2015,1.057922
BTC,14/09/2015,229.15808
ETH,14/09/2015,0.943382
BTC,15/09/2015,230.51091
ETH,15/09/2015,0.895974
BTC,16/09/2015,230.98066
ETH,16/09/2015,0.953877
BTC,17/09/2015,229.58975
ETH,17/09/2015,0.908822
BTC,18/09/2015,233.2385
ETH,18/09/2015,0.8584
BTC,19/09/2015,232.50008
ETH,19/09/2015,0.852294
BTC,20/09/2015,231.33733
ETH,20/09/2015,0.876125
BTC,21/09/2015,230.75433
ETH,21/09/2015,0.9786
BTC,22/09/2015,227.79358
ETH,22/09/2015,0.903632
BTC,23/09/2015,231.30983
ETH,23/09/2015,0.902332
BTC,24/09/2015,231.09508
ETH,24/09/2015,0.882362
BTC,25/09/2015,233.74475
ETH,25/09/2015,0.823158
BTC,26/09/2015,234.92466
ETH,26/09/2015,0.71822
BTC,27/09/2015,234.32908
ETH,27/09/2015,0.786708
BTC,28/09/2015,237.21116
ETH,28/09/2015,0.673928
BTC,29/09/2015,238.56625
ETH,29/09/2015,0.587136
BTC,30/09/2015,238.06125
ETH,30/09/2015,0.663342
BTC,01/10/2015,237.15191
ETH,01/10/2015,0.74342
BTC,02/10/2015,238.06358
ETH,02/10/2015,0.683352
BTC,03/10/2015,237.63516
ETH,03/10/2015,0.673569
BTC,04/10/2015,238.99883
ETH,04/10/2015,0.704391
BTC,05/10/2015,238.82433
ETH,05/10/2015,0.674765
BTC,06/10/2015,240.63075
ETH,06/10/2015,0.611915
BTC,07/10/2015,246.49633
ETH,07/10/2015,0.627348
BTC,08/10/2015,244.49816
ETH,08/10/2015,0.597617
BTC,09/10/2015,243.25675
ETH,09/10/2015,0.647476
BTC,10/10/2015,244.96533
ETH,10/10/2015,0.639178
BTC,11/10/2015,245.07
ETH,11/10/2015,0.622336
BTC,12/10/2015,247.65041
ETH,12/10/2015,0.630986
BTC,13/10/2015,244.57641
ETH,13/10/2015,0.615958
BTC,14/10/2015,249.45908
ETH,14/10/2015,0.580101
BTC,15/10/2015,254.64216
ETH,15/10/2015,0.520789
BTC,16/10/2015,255.72741
ETH,16/10/2015,0.55132
BTC,17/10/2015,267.53983
ETH,17/10/2015,0.523356
BTC,18/10/2015,270.04041
ETH,18/10/2015,0.549124
BTC,19/10/2015,264.98625
ETH,19/10/2015,0.518259
BTC,20/10/2015,264.92575
ETH,20/10/2015,0.490581
