Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
LSK,2018-06-06,9.1396482464,9.0209817003,9.3421693121,8.7903115453
LSK,2018-06-12,7.1136295075,7.0218607153,7.1327728289,6.9719257918
LSK,2018-06-13,6.7237289152,7.2224083502,7.3667480328,6.6045635646
LSK,2018-06-14,6.3201434512,6.7242684287,6.7451764188,6.1614203886
LSK,2018-06-15,6.8746119973,6.3160279385,6.9552589409,6.2657117707
LSK,2018-06-16,6.4413648188,6.9210552019,6.9386827537,6.4270863369
LSK,2018-06-17,6.5470470672,6.441366638,6.5612372353,6.3404760075
LSK,2018-06-18,6.2572017105,6.5003510346,6.5445893309,6.2259876629
LSK,2018-06-19,6.3960036618,6.2126341879,6.4700554602,5.9308974622
LSK,2018-06-20,6.4714603841,6.4004380548,6.5824858758,6.3436720273
LSK,2018-06-21,6.3662377933,6.4737671534,6.4872403284,6.1869269905
LSK,2018-06-22,6.19324107,6.3725477461,6.4200617741,6.1089404949
LSK,2018-06-23,5.3985129011,6.1916075993,6.2550554096,5.2616113409
LSK,2018-06-24,5.694918185,5.3700250928,5.7000297004,5.3424047555
LSK,2018-06-25,5.4811208981,5.6950276946,5.7039422884,5.1439265024
LSK,2018-06-26,5.5973313378,5.4703546456,5.6770274023,5.3667335377
LSK,2018-06-27,5.4003041033,5.5990821801,5.6019804141,5.3497550258
LSK,2018-06-28,5.3197825969,5.4016259063,5.4141699683,5.1902381587
LSK,2018-06-29,5.0160917022,5.3111638379,5.3787737041,4.9907831975
LSK,2018-06-30,5.0997493501,5.014677374,5.1154104224,4.7604672024
LSK,2018-07-01,5.3638275204,5.1014473396,5.4880103187,5.04449582
LSK,2018-07-02,5.4834832379,5.4015175585,5.4963807459,5.2552402312
LSK,2018-07-03,5.9446997635,5.4810384178,6.0262644692,5.3603046898
LSK,2018-07-04,5.6719999474,5.9409790942,6.1173682302,5.657941419
LSK,2018-07-05,5.8449315377,5.6377001362,6.0015402964,5.5949103357
LSK,2018-07-06,5.5356599842,5.8451536085,5.9351922669,5.4707235761
LSK,2018-07-08,5.4577588665,5.7249133073,5.7326938064,5.392225462
LSK,2018-07-09,5.6066495217,5.4576406416,5.6905819044,5.4546315596
LSK,2018-07-10,5.4861819272,5.6066133918,5.6934742487,5.4392876047
LSK,2018-07-11,5.1682391581,5.4861446735,5.4943093077,5.1276388452
LSK,2018-07-12,5.1953322273,5.120069438,5.2898737681,5.1134562332
LSK,2018-07-13,4.8123082448,5.1946004316,5.231538575,4.800122437
LSK,2018-07-15,4.8895852102,4.8825977061,4.9490245468,4.5964645679
LSK,2018-07-16,5.0243876113,4.8896012677,5.065572381,4.8608769704
LSK,2018-07-17,5.389758872,5.0073121885,5.4268405466,4.9734075947
LSK,2018-07-18,5.6909662836,5.3897870932,5.80443931,5.2336498146
LSK,2018-07-19,5.7133555019,5.6915019929,6.0550114589,5.6447706082
LSK,2018-07-20,5.3906609301,5.7132831676,5.7369508153,5.327371322
LSK,2018-07-21,4.9360430989,5.3906098453,5.400989818,4.8648211749
LSK,2018-07-22,4.9765984651,4.9329637779,5.0865049339,4.8726953215
LSK,2018-07-23,5.0395479125,4.9844557228,5.1656617504,4.9528066205
LSK,2018-07-24,4.8124426771,4.9845941483,5.1392872268,4.7905111058
LSK,2018-07-25,4.9392184888,4.8130750246,5.0087390235,4.720113363
LSK,2018-07-26,5.08443332,4.9354916685,5.1752508194,4.8982343998
LSK,2018-07-27,4.8074797841,5.0842609247,5.2128499347,4.8002745676
LSK,2018-07-28,4.884209452,4.8088645938,4.9089916536,4.6604226561
LSK,2018-07-29,4.938241881,4.8497685634,4.9543363089,4.7590028275
LSK,2018-07-30,5.1058342831,4.9402495228,5.1150738993,4.8595123369
LSK,2018-07-31,4.8853529355,5.1305651868,5.1374789093,4.7123075371
LSK,2018-08-01,4.5179901767,4.8857575384,4.8927186011,4.5091500392
LSK,2018-08-02,4.4582379259,4.5300358083,4.5487798809,4.3462065129
LSK,2018-08-03,4.2083581942,4.4582842448,4.5438001103,4.18928797
LSK,2018-08-04,4.0526252108,4.2034709052,4.2041459967,3.8976536429
LSK,2018-08-05,3.7322338213,4.0531591837,4.1517370517,3.6710589276
LSK,2018-08-06,3.7801178103,3.7395952589,3.7976796638,3.6666212387
LSK,2018-08-07,3.7358304544,3.7801222512,3.8557473167,3.718164471
LSK,2018-08-08,3.6122974977,3.735830201,3.9014103509,3.5971771487
LSK,2018-08-09,3.1173036328,3.5675023479,3.5678156044,3.0267059388
LSK,2018-08-10,3.3523686665,3.114320662,3.3686296186,3.1007577508
LSK,2018-08-11,2.9839446727,3.3530750781,3.355576333,2.9727066703
LSK,2018-08-12,2.9428447707,2.9404318735,2.9727654026,2.7391484872
LSK,2018-08-13,2.8496378313,2.9429446928,2.9676523269,2.7775738714
LSK,2018-08-14,2.8469091035,2.8496362265,3.178576887,2.8175804991
LSK,2018-08-15,2.5474281031,2.8436201854,2.8591281041,2.4645410435
LSK,2018-08-16,3.0188302496,2.5913317303,3.1844338358,2.5913317303
LSK,2018-08-17,3.4819835918,3.0188302496,3.8112184066,2.9182564719
LSK,2018-08-18,3.9612119466,3.4724458358,4.3611737027,3.4638126971
LSK,2018-08-19,3.6374514544,3.9581525629,4.2818133258,3.4630901296
LSK,2018-08-20,3.7815094155,3.638004512,3.982362776,3.5483729415
LSK,2018-08-21,3.6828049079,3.7814998781,3.9310924653,3.6503942303
LSK,2018-08-22,4.0533727593,3.6846597287,4.1848688648,3.6714789903
LSK,2018-08-23,3.7826664745,4.0534855367,4.3038016291,3.7109199192
LSK,2018-08-24,4.5202850705,3.8082244792,4.8157311296,3.8008591857
LSK,2018-08-25,5.0168554802,4.6486255629,5.2780243396,4.423770843
