Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
NEO,2018-06-06,54.4681818689,53.4817511899,54.9487633899,51.8096684534
NEO,2018-06-12,44.7144945681,43.2081908295,44.8574848222,43.0028723918
NEO,2018-06-13,41.3785330702,45.5872595906,46.4332299131,40.679898138
NEO,2018-06-14,38.2362833196,41.3782569625,41.4234719957,35.7756265859
NEO,2018-06-15,40.2517210848,37.9308024044,41.5083710095,37.7101943665
NEO,2018-06-16,38.0177727681,40.6180000615,40.7748991773,37.9925957547
NEO,2018-06-17,38.1624092843,38.0177756044,38.5547256918,36.3272258033
NEO,2018-06-18,38.766339709,37.9955332471,39.4952551235,37.5457179215
NEO,2018-06-19,39.4266999426,38.6300086125,40.2736440407,36.8783062872
NEO,2018-06-20,39.7972491034,39.4348444437,41.0667731015,38.9116847928
NEO,2018-06-21,38.9178179617,39.9005505525,39.9093883621,37.8257442531
NEO,2018-06-22,37.6905202838,38.8653678881,39.5089969316,37.3104937889
NEO,2018-06-23,33.0606737715,37.6788362888,37.7004677683,32.2130969709
NEO,2018-06-24,34.2479237898,32.9541859963,34.5818170383,32.6327943747
NEO,2018-06-25,31.2129398724,34.2480949504,34.2880744343,29.2323915558
NEO,2018-06-26,31.716463003,31.1821861642,32.4886510046,30.6369473042
NEO,2018-06-27,30.4238241246,31.7256587577,31.7791869428,30.2703416579
NEO,2018-06-28,30.3211990292,30.4230221389,30.5519893239,29.4145941603
NEO,2018-06-29,28.955138263,30.3096330537,30.6172989756,28.8599150653
NEO,2018-06-30,29.9689968227,28.9502898789,30.1982045809,27.0235522588
NEO,2018-07-01,30.2939539615,29.9707615846,32.1907236362,29.4728584098
NEO,2018-07-02,31.22485291,30.8495166396,31.5062483593,29.8349764756
NEO,2018-07-03,36.6038166922,31.2184002968,37.2664033238,31.0733216542
NEO,2018-07-04,35.679421451,36.6472729546,38.5769164346,35.4717926396
NEO,2018-07-05,40.8782011097,35.9005880268,42.5718103671,35.117452364
NEO,2018-07-06,40.0415335832,40.9035029225,43.2742752238,39.0785838752
NEO,2018-07-08,37.1309860767,36.8726251663,37.4279923712,36.2096325247
NEO,2018-07-09,39.734469638,37.1306929628,41.0845933196,37.0706522454
NEO,2018-07-10,37.5250174463,39.7344123674,39.7422851829,36.6836560449
NEO,2018-07-11,34.1510224128,37.5227226594,37.6662073697,32.9302619203
NEO,2018-07-12,33.5389772467,33.2274908431,34.653985797,31.9181937788
NEO,2018-07-13,31.202646624,33.8514100708,33.8846806214,30.9714872434
NEO,2018-07-15,32.463231787,33.1777527988,33.4199770796,31.4924534109
NEO,2018-07-16,33.7757969211,32.4632560396,33.9884136821,32.0549905901
NEO,2018-07-17,36.4109098351,33.5107058631,37.0496236255,32.9696566643
NEO,2018-07-18,39.0760381983,36.9248153799,40.3895739535,35.6543912307
NEO,2018-07-19,37.9251101067,39.0769132214,40.6103025674,36.6654831241
NEO,2018-07-20,35.8220053332,37.9203270821,38.1248007685,35.6405582726
NEO,2018-07-21,33.2991170305,35.8218093069,36.1848511732,32.8471356968
NEO,2018-07-22,34.4259600349,33.2802339663,35.2169807211,31.9615317403
NEO,2018-07-23,33.2645849087,34.4198926892,34.878767342,32.6486216611
NEO,2018-07-24,32.410096064,33.1056621917,34.5901232067,32.2099581531
NEO,2018-07-25,34.1169835092,32.4114021442,35.7636700118,31.3040633843
NEO,2018-07-26,34.3851595123,34.0717468315,35.5570740444,33.4301039397
NEO,2018-07-27,32.9330555578,34.3683683803,35.5186735494,32.9250754236
NEO,2018-07-28,33.8341532677,33.0811983266,33.8555522839,32.1765300493
NEO,2018-07-29,33.5625893419,33.0824051165,33.6808851661,32.6086174032
NEO,2018-07-30,33.3720751452,33.5641231762,34.3396953317,33.2047185378
NEO,2018-07-31,31.9870646395,33.42817728,33.4809590509,31.4391995257
NEO,2018-08-01,29.6038934298,31.9870280761,32.1744496705,29.5452659099
NEO,2018-08-02,29.4948020551,29.646905917,30.2569416746,28.5364335995
NEO,2018-08-03,28.1613998188,29.493821231,29.9913968604,27.711823205
NEO,2018-08-04,27.9650886241,28.1858012816,28.4422021759,26.5719790759
NEO,2018-08-05,27.0841724228,27.9672328101,28.7280501096,26.7930899609
NEO,2018-08-06,27.6352509496,27.1146660604,27.7804896618,26.7790264081
NEO,2018-08-07,26.5871323486,27.6352720758,28.1097662418,26.5165769735
NEO,2018-08-08,25.3649049439,26.5904697194,27.7419376245,24.8177536902
NEO,2018-08-09,22.33693409,25.0965265363,25.09731911,21.9331413226
NEO,2018-08-10,23.0120188865,22.3470386324,23.1272304993,21.9465613234
NEO,2018-08-11,19.7526314734,23.0121458136,23.0572290693,19.6886599717
NEO,2018-08-12,19.3753182277,19.1594167666,19.4332113049,17.0578391926
NEO,2018-08-13,18.6878183205,19.3769512763,19.4461962062,18.2669019552
NEO,2018-08-14,16.440195898,18.6878169924,19.1863324717,16.0402256049
NEO,2018-08-15,15.4291858085,16.4257401551,16.5019420576,14.2928477984
NEO,2018-08-16,16.1209956493,16.3533924105,17.8074949074,16.0027245514
NEO,2018-08-17,15.9624041692,16.1209956493,17.2162488739,15.4115098338
NEO,2018-08-18,20.5818057747,15.9983308407,20.701562291,15.6739355623
NEO,2018-08-19,18.705212909,20.5691625637,21.0278334675,17.2582551109
NEO,2018-08-20,19.7013322906,18.7689320254,20.4773596478,17.6873433114
NEO,2018-08-21,17.3865380824,19.7013230464,19.9207194956,17.2013585606
NEO,2018-08-22,17.8365631359,17.0875368431,18.2196660761,16.9636102983
NEO,2018-08-23,16.5774570854,17.8403848015,19.3807069565,15.9305703016
NEO,2018-08-24,17.565146057,16.3984526032,17.7211220491,16.3911445666
NEO,2018-08-25,17.8185109777,17.7553234676,17.8856780434,17.0194912587
NEO,2018-08-26,17.5474153558,17.7189652467,18.3039118767,17.261791319
NEO,2018-08-27,17.274588687,17.5475517246,17.7973756687,16.761894805
NEO,2018-08-28,20.0330771145,17.5201686243,20.309866883,17.2657758674
NEO,2018-08-29,21.2990427783,19.9762483433,21.7101336957,19.7559324323
NEO,2018-08-30,20.1651188763,21.265630374,21.3186763743,19.4257468825
NEO,2018-08-31,19.270599939,19.7671689312,20.0803040242,18.4337583895
NEO,2018-09-01,20.1125805441,19.2705360454,20.3595967086,18.9069723929
NEO,2018-09-02,22.5806803824,20.1192304999,23.2393758737,20.0343711435
NEO,2018-09-03,21.8632379314,22.5797977654,23.2457353189,21.4644384995
NEO,2018-09-04,22.8739882144,21.8555041032,23.5214952736,21.1523179787
NEO,2018-09-05,24.6736479454,22.9818304073,25.3042761051,22.4188550513
NEO,2018-09-06,20.4628928529,24.2249663792,24.8523563189,20.1161776584
